Number of digits (n),Simple Multiplication,Karatsuba
1130,54959789,5682169
1131,55057057,5686621
1132,55154408,5685669
1133,55251853,5685629
1134,55349387,5701853
1135,55446986,5710765
1136,55544695,5724485
1137,55642474,5722601
1138,55740357,5727809
1139,55838311,5739345
1140,55936352,5770881
1141,56034480,5756597
1142,56132703,5761245
1143,56231002,5780809
1144,56329397,5784185
1145,56427873,5792689
1146,56526420,5786337
1147,56625073,5801513
1148,56723811,5796905
1149,56822620,5812497
1150,56921527,5830557
1151,57020517,5864845
1152,57119595,5842881
1153,57218752,5869645
1154,57318001,5856513
1155,57417328,5879693
1156,57516754,5891517
1157,57616269,5865317
1158,57715861,5882305
1159,57815528,5898985
1160,57915295,5924661
1161,58015154,5930573
1162,58115089,5940885
1163,58215105,5930837
1164,58315210,5930085
1165,58415409,5948669
1166,58515687,5943401
1167,58616048,5969609
1168,58716498,5973233
1169,58817045,5970605
1170,58917667,5991209
1171,59018379,5976817
1172,59119173,6026397
1173,59220044,6008613
1174,59321027,5994969
1175,59422068,6041705
1176,59523217,6013545
1177,59624443,6037797
1178,59725752,6075185
1179,59827150,6050553
1180,59928628,6068781
1181,60030204,6075689
1182,60131865,6085257
1183,60233600,6088041
1184,60335426,6090097
1185,60437349,6070865
1186,60539336,6110549
1187,60641431,6110621
1188,60743603,6119257
1189,60845870,6148049
1190,60948211,6137725
1191,61050635,6144865
1192,61153151,6150533
1193,61255753,6175313
1194,61358441,6147417
1195,61461219,6177909
1196,61564084,6171005
1197,61667020,6174177
1198,61770057,6197849
1199,61873173,6189253
1200,61976370,6211249
1201,62079671,6237277
1202,62183029,6224661
1203,62286507,6255281
1204,62390046,6229641
1205,62493685,6251365
1206,62597405,6242997
1207,62701211,6255381
1208,62805098,6279981
1209,62909083,6288325
1210,63013153,6281509
1211,63117295,6301517
1212,63221535,6290041
1213,63325855,6310517
1214,63430270,6330585
1215,63534763,6339305
1216,63639341,6327153
1217,63744005,6327785
1218,63848761,6358701
1219,63953591,6353713
1220,64058517,6391765
1221,64163522,6379021
1222,64268614,6375673
1223,64373794,6398297
1224,64479075,6420677
1225,64584427,6420001
1226,64689867,6413933
1227,64795397,6443013
1228,64901003,6447709
1229,65006700,6436445
1230,65112475,6466901
1231,65218350,6448229
1232,65324308,6473881
1233,65430357,6470605
1234,65536472,6458305
1235,65642686,6471981
1236,65748999,6518373
1237,65855376,6509517
1238,65961861,6527025
1239,66068413,6520633
1240,66175046,6535797
1241,66281785,6556129
1242,66388605,6542909
1243,66495505,6567061
1244,66602495,6529421
1245,66709569,6564425
1246,66816716,6578205
1247,66923970,6619049
1248,67031307,6608005
1249,67138725,6612049
1250,67246229,6618697
1251,67353812,6612501
1252,67461486,6640761
1253,67569257,6612465
1254,67677107,6634793
1255,67785032,6654517
1256,67893059,6649593
1257,68001163,6658709
1258,68109352,6681565
1259,68217637,6681449
1260,68325986,6664197
1261,68434444,6685617
1262,68542985,6704669
1263,68651609,6706469
1264,68760315,6715957
1265,68869105,6696277
1266,68977985,6719805
1267,69086957,6755797
1268,69195996,6763753
1269,69305138,6734877
1270,69414371,6750885
1271,69523672,6762501
1272,69633070,6785833
1273,69742561,6773797
1274,69852114,6756033
1275,69961779,6797141
1276,70071523,6804469
1277,70181345,6823053
1278,70291257,6823949
1279,70401246,6798197
1280,70511343,6838377
1281,70621509,6820137
1282,70731765,6859685
1283,70842107,6875277
1284,70952539,6863733
1285,71063049,6873077
1286,71173647,6897133
1287,71284331,6882777
1288,71395102,6884137
1289,71505961,6881061
1290,71616907,6907329
1291,71727941,6922177
1292,71839046,6935217
1293,71950250,6931441
1294,72061549,6944613
1295,72172910,6938317
1296,72284374,6963925
