n,TotalOps,Assignments,ArrayLookups,Comparisons,Arithmetic,MethodCalls,Returns
5363,1237008108,373972714,345184121,115100707,402750563,1,1
5364,1237469413,374112177,345312852,115143625,402900756,1,1
5365,1237930801,374251666,345441606,115186551,403050975,1,1
5366,1238392287,374391183,345570388,115229485,403201228,1,1
5367,1238853853,374530725,345699192,115272427,403351506,1,1
5368,1239315511,374670295,345828022,115315377,403501815,1,1
5369,1239777249,374809889,345956874,115358335,403652149,1,1
5370,1240239073,374949509,346085750,115401301,403802511,1,1
5371,1240700986,375089155,346214651,115444275,403952902,1,1
5372,1241162970,375228825,346343571,115487257,404103315,1,1
5373,1241625058,375368524,346472521,115530247,404253763,1,1
5374,1242087229,375508249,346601494,115573245,404404239,1,1
