Number of digits (n),Total Primitive Operations,Assignments,Comparisons,Additions,Subtractions,Multiplications,Divisions,Modulos,MethodCalls,Returns
336,809161,285723,115851,54025,21610,64831,94239,32415,86441,54026
337,816517,288323,116906,54515,21806,65419,95098,32709,87225,54516
338,808613,285603,115826,53955,21582,64747,94242,32373,86329,53956
339,819813,289564,117434,54700,21880,65641,95552,32820,87521,54701
340,820469,289760,117502,54760,21904,65713,95596,32856,87617,54761
341,827405,292117,118428,55265,22106,66319,96320,33159,88425,55266
342,829729,292927,118753,55425,22170,66511,96581,33255,88681,55426
343,829681,293090,118877,55340,22136,66409,96739,33204,88545,55341
344,838753,296273,120161,55955,22382,67147,97777,33573,89529,55956
345,833225,294367,119403,55565,22226,66679,97175,33339,88905,55566
346,842985,297729,120739,56255,22502,67507,98235,33753,90009,56256
347,846989,299137,121308,56525,22610,67831,98696,33915,90441,56526
348,849337,300047,121703,56645,22658,67975,99043,33987,90633,56646
349,843297,297885,120817,56255,22502,67507,98313,33753,90009,56256
350,868953,306896,124455,57990,23196,69589,101257,34794,92785,57991
351,869389,306982,124468,58050,23220,69661,101246,34830,92881,58051
352,873765,308565,125122,58325,23330,69991,101790,34995,93321,58326
353,874237,308713,125176,58365,23346,70039,101828,35019,93385,58366
354,878601,310323,125851,58625,23450,70351,102399,35175,93801,58626
355,884597,312364,126654,59060,23624,70873,103028,35436,94497,59061
356,884925,312605,126792,59025,23610,70831,103180,35415,94441,59026
357,899441,317564,128749,60070,24028,72085,104719,36042,96113,60071
358,891133,314741,127640,59465,23786,71359,103852,35679,95145,59466
359,899129,317518,128751,60020,24008,72025,104741,36012,96033,60021
360,903081,318944,129339,60270,24108,72325,105229,36162,96433,60271
361,924645,326250,132202,61850,24740,74221,107460,37110,98961,61851
362,919905,324793,131681,61435,24574,73723,107105,36861,98297,61436
363,923029,325794,132054,61690,24676,74029,107376,37014,98705,61691
364,921481,325460,131987,61490,24596,73789,107389,36894,98385,61491
365,931853,329040,133412,62220,24888,74665,108522,37332,99553,62221
366,923521,326216,132305,61610,24644,73933,107659,36966,98577,61611
367,929297,328224,133109,62010,24804,74413,108303,37206,99217,62011
368,941189,332377,134778,62825,25130,75391,109646,37695,100521,62826
369,956161,337366,136705,63960,25584,76753,111119,38376,102337,63961
370,944609,333394,135129,63140,25256,75769,109871,37884,101025,63141
371,961009,339273,137541,64195,25678,77035,111861,38517,102713,64196
372,953689,336735,136527,63685,25474,76423,111051,38211,101897,63686
373,969645,342249,138724,64805,25922,77767,112800,38883,103689,64806
374,975605,344305,139542,65225,26090,78271,113450,39135,104361,65226
375,986381,348076,141060,65960,26384,79153,114674,39576,105537,65961
376,978125,345444,140084,65280,26112,78337,113970,39168,104449,65281
377,977481,345067,139883,65305,26122,78367,113759,39183,104489,65306
378,982821,347077,140738,65605,26242,78727,114494,39363,104969,65606
379,1005137,354638,143701,67240,26896,80689,116803,40344,107585,67241
380,1002605,353823,143396,67035,26814,80443,116580,40221,107257,67036
381,1007817,355604,144099,67410,26964,80893,117133,40446,107857,67411
382,1014269,357851,145000,67855,27142,81427,117856,40713,108569,67856
383,1006845,355503,144136,67235,26894,80683,117240,40341,107577,67236
384,1030497,363633,147361,68915,27566,82699,119793,41349,110265,68916
385,1027785,362750,147027,68700,27480,82441,119545,41220,109921,68701
386,1021525,360621,146190,68245,27298,81895,118890,40947,109193,68246
387,1033829,364782,147818,69150,27660,82981,120156,41490,110641,69151
388,1033213,364760,147872,69020,27608,82825,120262,41412,110433,69021
389,1039717,366956,148730,69500,27800,83401,120928,41700,111201,69501
390,1050341,370530,150122,70290,28116,84349,122004,42174,112465,70291
391,1045217,368826,149465,69900,27960,83881,121503,41940,111841,69901
392,1055945,372573,150971,70635,28254,84763,122715,42381,113017,70636
